date,forecasted_cond_vol,forecasted_rv
2025-09-10,1.0206734680008065,1.0206734680008065
2025-09-11,1.0673866314451192,1.0673866314451192
2025-09-12,1.1118953539227205,1.1118953539227205
2025-09-13,1.1544559413714692,1.1544559413714692
2025-09-14,1.1952777721849317,1.1952777721849317
2025-09-15,1.2345345527375504,1.2345345527375504
2025-09-16,1.2723723193726675,1.2723723193726675
2025-09-17,1.308915267930526,1.308915267930526
2025-09-18,1.344270091292095,1.344270091292095
2025-09-19,1.3785292669399705,1.3785292669399705
